단지명,지역key,자치구,역세권_m,실거래평당_만원,세대수,준공연차,재건축성,초품아,브랜드,신뢰도,지역점수,평당배수,z_역세권,z_평당,z_세대,z_재건축,z_초품아,z_브랜드,프리미엄_raw,프리미엄,단지자체점수,단지입지점수
e편한세상서울대입구,관악구,관악구,300,4500,1531,10,4,1,7,H,2.67,1.0843373493975903,0.7500000000006251,0.44755307149143914,0.478602634168211,0.4,1,0.39999999992,0.586301009415707,0.626634606001158,2.493461575995368,2.58
롯데캐슬골드파크,금천구,금천구,250,4000,3203,8,3,1,7,H,3.14,1.0256410256410255,0.8750000000003125,0.391149100450647,0.6652527078704062,0.4666666666666667,1,0.39999999992,0.650517726262784,0.7115874415172286,2.1536502339310855,2.65
킨텍스원시티,일산서구,고양시,300,4500,2038,7,3,1,8,H,3.0,1.0,0.7500000000006251,0.3665094709959853,0.5509239373076034,0.5333333333333333,1,0.59999999988,0.620940484783525,0.6738484116158094,2.3046063535367622,2.65
송도더샵퍼스트월드,송도국제도시,송도,300,3900,1596,15,4,1,8,H,2.95,1.054054054054054,0.7500000000006251,0.4184524736301371,0.4891143716726398,0.4,1,0.59999999988,0.6020576504651108,0.6484757483206903,2.4060970067172387,2.68
수성범어두산위브더제니스,수성구,대구수성,300,3000,1494,15,4,1,8,H,3.15,1.0344827586206897,0.7500000000006251,0.3996455244005305,0.4724179836317569,0.4,1,0.59999999988,0.5957918024130572,0.6398586765395429,2.4405652938418285,2.8
창동주공19단지,도봉구,도봉구,300,3000,1764,34,6,1,5,M,3.14,0.967741935483871,0.7500000000006251,0.3355112274885076,0.5144177015304231,0.6,1,0.0,0.5592649007274524,0.5879723354956943,2.648110658017223,2.89
서울역센트럴자이,중구,중구,300,5500,1341,8,3,1,8,H,3.39,1.0476190476190477,0.7500000000006251,0.4122687828403573,0.4451057070660484,0.4666666666666667,1,0.59999999988,0.6042196126161662,0.6514270027125729,2.3942919891497083,2.89
마곡엠밸리7단지,강서구,강서구,300,6033,1004,12,4,1,7,H,3.24,1.0936282062902203,0.7500000000006251,0.4564810790663162,0.371952609160048,0.4,1,0.39999999992,0.5720891071794579,0.606478755094301,2.574084979622796,2.91
한신더휴중랑,중랑구,중랑구,400,3800,1100,5,2,1,7,M,3.1,1.0410958904109588,0.50000000000125,0.4060003839575665,0.3950316723403876,0.6666666666666667,1,0.39999999992,0.5304548276349464,0.5455555540823771,2.8177777836704916,2.96
SK북한산시티,강북구,강북구,400,3000,5327,22,4,1,7,M,3.16,0.967741935483871,0.50000000000125,0.3355112274885076,0.7939086991050965,0.4,1,0.39999999992,0.536188550355841,0.5540705580488656,2.7837177678045375,2.97
해운대엘시티더샵,해운대구,부산해운대,300,5887,882,8,3,0,8,H,3.0,1.147787093000585,0.7500000000006251,0.5085248201749114,0.33921344075258314,0.4666666666666667,0,0.59999999988,0.5075869801360573,0.5113785053542359,2.9544859785830564,2.98
삼익비치,수영구,부산수영,300,3500,3060,47,9,0,5,M,3.21,1.0,0.7500000000006251,0.3665094709959853,0.65370237151643,0.9,0,0.0,0.5313572499268491,0.5468976163775989,2.8124095344896043,3.01
둔산크로바,대전서구,대전둔산,400,4117,1632,32,6,1,5,H,3.27,1.0810030195615072,0.50000000000125,0.44434896207745145,0.4947536326488763,0.6,1,0.0,0.5030828373131967,0.5046241241291025,2.98150350348359,3.13
